ID;Zone;Sous-groupe;Catégorie;Nom de l'exercice;Muscles principaux;Objectif;Niveau;Séries;Répétitions;Maintien (s);Matériel;Difficulté;Position;Temps estimé (min);Description / Exécution;Intérêt pour le marin;Photo
EP002;Épaules;Coiffe des rotateurs;Étirement;Étirement de la coiffe des rotateurs;Sous-épineux, Petit rond;Mobilité;Débutant;1;3-5;15;Aucun;Facile;Debout;3;Effectuer une rotation interne douce du bras à l'aide de l'autre main.;Préserve la mobilité de l'épaule et réduit le risque de blessures lors des efforts en hauteur.;EP002.jpg
EP003;Épaules;Deltoïdes;Renforcement;Élévations latérales;Deltoïde moyen;Force;Intermédiaire;3;10-12;;Haltères ou bouteilles;Moyenne;Debout;5;Lever les bras latéralement jusqu'à l'horizontale puis redescendre lentement.;Renforce la stabilité de l'épaule pour le port de charges et les interventions en hauteur.;EP003.jpg
EP004;Épaules;Coiffe des rotateurs;Renforcement;Rotation externe de l'épaule;Sous-épineux, Petit rond;Stabilité;Débutant;2;10-15;;Élastique;Facile;Debout;4;Coude collé au corps, effectuer une rotation externe contrôlée contre résistance.;Renforce les muscles stabilisateurs de l'épaule et prévient les TMS.;EP004.jpg
EP005;Épaules;Deltoïde antérieur;Renforcement;Développé épaules;Deltoïde antérieur;Force;Confirmé;3;8-10;;Haltères;Moyenne;Debout;5;Pousser les haltères au-dessus de la tête puis revenir lentement.;Améliore la capacité de levage au-dessus des épaules lors des opérations de manutention.;EP005.jpg
EP006;Épaules;Scapula;Renforcement;Élévations frontales;Deltoïde antérieur;Force / Endurance;Intermédiaire;3;12-15;;Haltères;Moyenne;Debout;5;Lever les bras devant soi jusqu'à l'horizontale puis redescendre de façon contrôlée.;Améliore l'endurance de l'épaule lors des manipulations répétitives à bord.;EP006.jpg
EP007;Épaules;Scapula;Renforcement;Pompes scapulaires;Dentelé antérieur;Stabilité;Débutant;2;10-15;;Aucun;Facile;Au sol;4;En position de pompe, mobiliser uniquement les omoplates sans fléchir les coudes.;Favorise une meilleure stabilité scapulaire et réduit les douleurs d'épaule liées aux efforts prolongés.;EP007.jpg
TR001;Trapèzes;Trapèze supérieur;Étirement;Étirement du deltoïde, du trapèze et du cou;"Trapèze supérieur; Deltoïde postérieur";Mobilité / Prévention TMS;Débutant;1;5-6;10-15;Aucun;Facile;Debout;3;Un bras dans le dos, saisir le poignet avec l'autre main et tirer doucement vers le bas et l'extérieur.;Réduit les tensions du cou et des épaules liées au port de charges, aux postures prolongées et au travail en hauteur.;TR001.jpg
TR002;Trapèzes;Trapèze supérieur;Renforcement;Haussement d'épaules à la barre;Trapèze supérieur;Force;Intermédiaire;3;10-12;;Barre ou sac lesté;Moyenne;Debout;5;Bras tendus, hausser les épaules verticalement puis revenir lentement à la position initiale.;Renforce les muscles responsables de la stabilisation des épaules et du cou, améliorant la résistance à la fatigue lors des opérations de manutention.;TR002.jpg
TR003;Trapèzes;Trapèze supérieur;Renforcement;Tirage vertical à la barre, mains serrées;"Trapèze supérieur; Deltoïde";Force / Endurance;Confirmé;3;8-12;;Barre ou sac lesté;Moyenne;Debout;6;Tirer la charge le long du corps jusqu'au menton en gardant les coudes hauts, puis redescendre de manière contrôlée.;Développe la puissance de traction et la stabilité scapulaire, essentielles lors des levages et des manipulations répétitives à bord.;TR003.jpg
DO001;Dos;Grand dorsal;Étirement;Étirement du grand dorsal;Grand dorsal;Mobilité;Débutant;1;5;15;Aucun;Facile;Debout;3;Bras tendus au-dessus de la tête, pousser les mains vers l'avant et s'étirer progressivement.;Améliore la mobilité des épaules et réduit les tensions liées aux mouvements de traction et de levage.;DO001.jpg
DO002;Dos;Dos global;Renforcement;Contraction des muscles du dos;"Trapèzes; Rhomboïdes; Grand dorsal";Endurance musculaire;Débutant;2;5-6;;Aucun;Facile;Debout;3;Lever les bras en inspirant puis les redescendre en contrôlant le mouvement.;Renforce les muscles posturaux sollicités lors du port de charges et de la manutention tout en améliorant la stabilité scapulaire.;DO002.jpg
DO003;Dos;Spinaux;Renforcement;Renforcement musculaire des spinaux;Érecteurs du rachis;Force;Débutant;2;6;;Aucun;Facile;Allongé;4;Allongé sur le ventre, décoller légèrement le buste puis revenir lentement.;Prévient les lombalgies, améliore la posture et soutient les efforts de levage à bord.;DO003.jpg
DO004;Dos;Haut du dos;Renforcement;Renforcement du haut du dos;"Trapèze moyen; Rhomboïdes; Deltoïde postérieur; Sus-épineux; Sous-épineux";Stabilité;Intermédiaire;2;6-8;;Aucun;Moyenne;Allongé;4;Allongé sur le ventre, décoller les bras en rapprochant les omoplates.;Améliore la stabilité scapulaire, la posture et la résistance lors des opérations de traction et de manutention.;DO004.jpg
DO005;Dos;Grand dorsal;Renforcement;Contraction et étirement du grand dorsal;Grand dorsal;Mobilité / Force;Débutant;3;3-5;10;Aucun;Facile;Debout;3;Réaliser une contraction isométrique puis un étirement contrôlé de chaque côté.;Favorise la mobilité des épaules et réduit les tensions accumulées lors des mouvements répétitifs.;DO005.jpg
DO006;Dos;Bas du dos;Renforcement;Renforcement des muscles du bas du dos;"Spinaux; Trapèze moyen";Force;Intermédiaire;2;6-8;;Aucun;Moyenne;Allongé;4;Même position que l'exercice précédent avec un léger décollage du front et des bras.;Renforce les muscles stabilisateurs du rachis et améliore la résistance aux contraintes mécaniques rencontrées à bord.;DO006.jpg
LO001;Lombaires;Mobilité;Étirement;Étirement latéral pour le dos;Carré des lombes;Mobilité;Débutant;1;10;5;;Facile;Debout;3;Lever un bras au-dessus de la tête puis incliner le buste du côté opposé en recherchant un étirement progressif.;Améliore la mobilité latérale du tronc et réduit les tensions lombaires liées aux postures prolongées et aux manutentions.;LO001.jpg
LO002;Lombaires;Rotation;Étirement;Étirement du bas du dos assis;Lombaires;Mobilité;Débutant;1;10;;Chaise;Facile;Assis;3;Assis, jambes croisées, effectuer une rotation douce du tronc en maintenant le bassin stable.;Favorise la mobilité du rachis lombaire et diminue les raideurs après les longues périodes de station assise ou debout.;LO002.jpg
LO003;Lombaires;Lombaires;Étirement;Étirement du bas du dos couché;Érecteurs du rachis;Mobilité;Débutant;3;1;30;Aucun;Facile;Allongé;4;Ramener les genoux vers la poitrine puis maintenir la position avant de relâcher progressivement.;Relâche les tensions lombaires après les efforts de manutention et améliore la mobilité du bassin.;LO003.jpg
LO004;Lombaires;Dos;Étirement;Posture de l'enfant;Grand dorsal;Mobilité / Récupération;Débutant;3;1;30;Aucun;Facile;À genoux;4;Depuis la position à genoux, s'asseoir sur les talons puis tendre les bras vers l'avant en gardant le front au sol.;Favorise la récupération après les efforts physiques et diminue les tensions du dos et des épaules.;LO004.jpg
LO005;Lombaires;Tronc;Renforcement;Exercice droite-gauche;Obliques;Mobilité / Gainage;Débutant;2;10;;Aucun;Facile;Allongé;4;Allongé sur le dos, genoux fléchis, laisser les jambes basculer d'un côté puis de l'autre en gardant les épaules au sol.;Améliore la mobilité du rachis et le contrôle du tronc, utiles lors des déplacements sur un navire en mouvement.;LO005.jpg
LO006;Lombaires;Rachis;Renforcement;Dos de chat / Dos de chien;Érecteurs du rachis;Mobilité / Renforcement;Débutant;2;10;;Aucun;Facile;Quatre appuis;4;Alterner une position de dos rond et de dos creux en contrôlant le mouvement et la respiration.;Mobilise la colonne vertébrale, améliore le contrôle postural et participe à la prévention des lombalgies chez le marin.;LO006.jpg
AB001;Ceinture abdominale;Grand droit;Étirement;Autograndissement avec contraction isométrique;Grand droit;Mobilité;Débutant;2;3;10;Aucun;Facile;Allongé;3;Allongé sur le dos, bras tendus derrière la tête et jambes tendues. S'étirer en poussant simultanément les mains et les pieds.;Favorise l'alignement du rachis, améliore la mobilité globale et réduit les tensions liées aux postures prolongées.;AB001.jpg
AB002;Ceinture abdominale;Grand droit;Étirement;Étirement du grand droit;Grand droit;Mobilité;Débutant;3;3-4;20;Aucun;Facile;Ventral;3;En appui sur les coudes, redresser progressivement le buste sans décoller le bassin.;Améliore la souplesse de la chaîne antérieure et compense les postures fléchies fréquentes à bord.;AB002.jpg
AB003;Ceinture abdominale;Obliques;Étirement;Étirement des obliques;Obliques interne et externe;Mobilité;Débutant;2;5;30;Aucun;Facile;Allongé;3;Laisser tomber les jambes d'un côté tout en gardant les épaules au sol.;Améliore la mobilité en rotation du tronc et réduit les tensions lombaires.;AB003.jpg
AB004;Ceinture abdominale;Chaîne antérieure;Étirement;Étirement grand droit / grand dorsal / pectoraux;"Grand droit; Grand dorsal";Mobilité;Débutant;2;8;8;Aucun;Facile;Ventral;4;Depuis la position d'extension, lever un bras en diagonale tout en contrôlant la respiration.;Favorise la mobilité du tronc et des épaules lors des tâches répétitives.;AB004.jpg
AB005;Ceinture abdominale;Grand droit;Renforcement;Crunch;Grand droit;Force;Débutant;3;8-12;;Aucun;Facile;Allongé;4;Relever légèrement les épaules en expirant sans tirer sur la nuque.;Renforce la sangle abdominale et améliore la stabilité du tronc lors des manutentions.;AB005.jpg
AB006;Ceinture abdominale;Fléchisseurs de hanche;Renforcement;Relevé de jambe et buste;"Fléchisseurs de hanche; Grand droit";Force;Intermédiaire;3;6-8;;Aucun;Moyenne;Allongé;4;Une jambe tendue vers le plafond, relever le buste vers celle-ci puis alterner.;Améliore le contrôle du bassin et la stabilité du tronc lors des déplacements à bord.;AB006.jpg
AB007;Ceinture abdominale;Obliques;Renforcement;Flexions latérales alternées;Obliques;Endurance;Débutant;4;6-8;;Aucun;Facile;Allongé;5;Buste relevé, toucher alternativement le pied droit puis le pied gauche avec la main correspondante.;Renforce les obliques, améliore la stabilité du tronc et limite les contraintes lombaires lors des efforts asymétriques.;AB007.jpg
FE001;Fessiers;Grand fessier;Étirement;Étirement des fessiers et contraction des fléchisseurs en isométrique;Grand fessier;Mobilité;Débutant;2;3-5;10;Aucun;Facile;Allongé;3;Étirement des fessiers associé à une contraction isométrique des fléchisseurs de hanche.;Améliore la mobilité du bassin et réduit les tensions liées aux manutentions et aux postures prolongées.;FE001.jpg
FE002;Fessiers;Grand fessier;Étirement;Étirement des fessiers;Grand fessier;Mobilité;Débutant;2;3-5;20;Aucun;Facile;Allongé;3;Ramener un genou vers la poitrine puis vers l'épaule opposée.;Améliore la souplesse des fessiers et réduit les contraintes sur les lombaires.;FE002.jpg
FE003;Fessiers;Grand fessier;Étirement;Étirement des fessiers et du droit antérieur;Grand fessier;Mobilité;Débutant;2;3-5;20;Aucun;Facile;Allongé;3;Associer un étirement des fessiers et du droit antérieur de la cuisse.;Favorise la mobilité de la hanche et diminue les tensions lors des déplacements à bord.;FE003.jpg
FE004;Fessiers;Petit fessier;Étirement;Étirement des petits fessiers et tenseur du fascia lata;Petit fessier;Mobilité;Débutant;2;3-5;20;Aucun;Facile;Allongé;3;Étirement contrôlé des petits fessiers selon la méthode C.R.E post-inhibition.;Améliore la stabilité du bassin et réduit les tensions de la hanche.;FE004.jpg
FE005;Fessiers;Grand fessier;Renforcement;Renforcement musculaire des fessiers;Grand fessier;Force;Débutant;3;10-12;;Aucun;Facile;Allongé;4;Élever le bassin en contractant les fessiers puis revenir lentement.;Améliore la stabilité du bassin et la puissance lors des manutentions.;FE005.jpg
FE006;Fessiers;Grand fessier;Renforcement;Renforcement des fessiers et des fléchisseurs;Grand fessier;Force;Intermédiaire;3;8-10;;Aucun;Moyenne;Allongé;4;Associer une extension de hanche et une sollicitation des fléchisseurs.;Renforce les muscles assurant la stabilité du bassin lors des déplacements et montées d'escaliers.;FE006.jpg
FE007;Fessiers;Grand fessier;Renforcement;Extension de hanche;Grand fessier;Force;Intermédiaire;3;10-12;;Aucun;Moyenne;Quatre appuis;4;À quatre pattes, tendre une jambe vers l'arrière en extension de hanche.;Développe la puissance des membres inférieurs et limite les contraintes lombaires lors des efforts.;FE007.jpg
CU001;Cuisses;Ischio-jambiers;Étirement;Étirement des ischio-jambiers;Ischio-jambiers;Mobilité;Débutant;2;3-5;20;Aucun;Facile;Debout;3;Tendre une jambe devant soi et incliner le buste en gardant le dos droit.;Améliore la souplesse de la chaîne postérieure et réduit les tensions lors des manutentions et déplacements.;CU001.jpg
CU002;Cuisses;Abducteurs;Étirement;Étirement des abducteurs et du petit fessier;Abducteurs;Mobilité;Débutant;2;3-5;20;Aucun;Facile;Allongé;3;Croiser une jambe puis amener doucement le genou vers le côté opposé.;Améliore la mobilité de la hanche et la stabilité lors des déplacements.;CU002.jpg
CU003;Cuisses;Abducteurs;Étirement;Étirement des abducteurs;"Adducteurs; Abducteurs";Mobilité;Débutant;2;3-5;20;Aucun;Facile;Assis;3;Écarter progressivement les jambes en gardant le dos droit.;Réduit les tensions de la hanche et améliore l'amplitude des mouvements.;CU003.jpg
CU004;Cuisses;Quadriceps;Étirement;Étirement des quadriceps par automanipulation;Quadriceps;Mobilité;Débutant;2;3-5;20;Aucun;Facile;Debout;3;Attraper la cheville derrière soi et rapprocher le talon de la fesse.;Améliore la souplesse des quadriceps et facilite les déplacements et manutentions.;CU004.jpg
CU005;Cuisses;Psoas;Renforcement;Renforcement des fessiers et des psoas;"Psoas; Grand fessier";Force;Intermédiaire;3;8-12;;Aucun;Moyenne;Allongé;4;Associer une flexion de hanche à une contraction des fessiers.;Renforce la stabilité du bassin et améliore le port de charges.;CU005.jpg
CU006;Cuisses;Abducteurs;Renforcement;Renforcement des abducteurs;Moyen fessier;Force;Intermédiaire;3;10-15;;Élastique (optionnel);Moyenne;Debout;4;Écarter la jambe latéralement puis revenir lentement.;Améliore la stabilité du bassin et l'équilibre sur un navire en mouvement.;CU006.jpg
CU007;Cuisses;Quadriceps;Renforcement;Renforcement des quadriceps en régime excentrique;Quadriceps;Force;Confirmé;3;8-10;;Aucun ou charge légère;Moyenne;Debout;5;Effectuer une descente lente et contrôlée avant de revenir à la position initiale.;Renforce les quadriceps et améliore le contrôle des membres inférieurs lors des déplacements et manutentions.;CU007.jpg
MO001;Mollets;Triceps sural;Étirement;Étirement des mollets;Jumeaux;Mobilité;Débutant;2;05-Jun;Oct-15;Aucun;Facile;Debout;3;En appui sur un talon, ramener les orteils vers le tibia et maintenir l'étirement.;Améliore la mobilité de la cheville, facilite les déplacements et réduit les tensions musculaires des mollets.;MO001.jpg
MO002;Mollets;Triceps sural;Étirement;Étirement des mollets : jumeaux, jambier postérieur et long péronier latéral;"Jumeaux; Jambier postérieur";Mobilité;Débutant;2;05-Jun;Oct-15;Aucun;Facile;Quatre appuis;3;Depuis la position à quatre appuis, tendre une jambe en arrière et pousser le talon vers le sol.;Favorise la mobilité de la cheville et améliore la stabilité lors des déplacements sur un navire en mouvement.;MO002.jpg
MO003;Mollets;Mollet antérieur;Étirement;Étirement du mollet par contraction du mollet antérieur;Jambier antérieur;Mobilité;Débutant;2;06-Aug;10;Aucun;Facile;Quatre appuis;3;À quatre appuis, porter progressivement le poids du corps vers l'arrière tout en maintenant la cheville en flexion.;Améliore la mobilité de la cheville, favorise l'équilibre et réduit les tensions de la chaîne postérieure.;MO003.jpg
MO004;Mollets;Triceps sural;Renforcement;Renforcement musculaire des mollets;"Jumeaux; Soléaire";Force;Débutant;3;08-Dec;Oct-15;Aucun;Facile;Debout;4;Se mettre sur la pointe des pieds, maintenir quelques secondes puis redescendre lentement.;Renforce les muscles du mollet, améliore la stabilité de la cheville, l'équilibre et les déplacements sur un navire en mouvement.;MO004.jpg
